Sample_id,Date_of_Collection,Month_of_Collection,Quarter_of_Collection,Year_of_Collection,Subnational_level0,Subnational_level1,Subnational_level2,Latitude,Longitude
ID01018,2021-10-25,2021-10,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01019,2021-10-27,2021-10,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01020,2021-11-10,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01021,2021-11-03,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01022,2021-11-03,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01023,2021-11-04,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01024,2021-11-04,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01025,2021-11-05,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01026,2021-11-10,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01027,2021-11-10,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01028,2021-11-30,2021-11,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01029,2021-12-07,2021-12,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01030,2021-12-16,2021-12,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01031,2021-12-17,2021-12,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01032,2021-12-17,2021-12,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01033,2021-12-17,2021-12,2021-Q4,2021,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01034,2022-03-25,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01035,2022-01-21,2022-01,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01036,2022-01-24,2022-01,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01037,2022-01-31,2022-01,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01038,2022-01-31,2022-01,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01039,2022-02-07,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01040,2022-02-08,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01041,2022-02-17,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01042,2022-02-17,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01043,2022-02-21,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01044,2022-02-21,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01045,2022-02-28,2022-02,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01046,2022-03-07,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01047,2022-03-10,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01048,2022-03-11,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01049,2022-03-14,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01050,2022-03-14,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01051,2022-03-15,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01052,2022-03-15,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01053,2022-03-17,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01054,2022-03-22,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01055,2022-03-22,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01056,2022-03-22,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01057,2022-03-23,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01058,2022-03-23,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01059,2022-03-24,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01060,2022-03-24,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01061,2022-03-25,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01062,2022-03-25,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01063,2022-03-25,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01064,2022-03-28,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01065,2022-03-30,2022-03,2022-Q1,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01066,2022-04-01,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01067,2022-04-06,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01068,2022-04-07,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01069,2022-04-18,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01070,2022-04-18,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01071,2022-04-18,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01072,2022-04-19,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01073,2022-04-19,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01074,2022-04-19,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01075,2022-04-19,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01076,2022-04-20,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01077,2022-04-21,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01078,2022-04-22,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01079,2022-04-22,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01080,2022-04-22,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01081,2022-04-25,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01082,2022-04-26,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01083,2022-04-27,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01084,2022-04-07,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01085,2022-04-27,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01086,2022-04-28,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01087,2022-04-28,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01088,2022-04-28,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01089,2022-04-28,2022-04,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01090,2022-05-02,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01091,2022-05-02,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01092,2022-05-02,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01093,2022-05-02,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01094,2022-05-02,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01095,2022-05-03,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01096,2022-05-04,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01097,2022-05-04,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01098,2022-05-05,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01099,2022-05-06,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01100,2022-05-09,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01101,2022-05-09,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01102,2022-05-09,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01103,2022-05-10,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01104,2022-05-11,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01105,2022-05-11,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01106,2022-05-13,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01107,2022-05-13,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01108,2022-05-13,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01109,2022-05-13,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01110,2022-05-13,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01111,2022-05-13,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01112,2022-05-14,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01113,2022-05-14,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01114,2022-05-14,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01115,2022-05-16,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01116,2022-05-16,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01117,2022-05-16,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01118,2022-05-16,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01119,2022-05-16,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01120,2022-05-17,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01121,2022-05-17,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01122,2022-05-18,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01123,2022-05-18,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01124,2022-05-18,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01125,2022-05-18,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01126,2022-05-20,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01127,2022-05-20,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01128,2022-05-20,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01129,2022-05-20,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01130,2022-05-20,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01131,2022-05-21,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01132,2022-05-23,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01133,2022-05-24,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01134,2022-05-24,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01135,2022-05-24,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01136,2022-05-25,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01137,2022-05-25,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01138,2022-05-25,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01139,2022-05-26,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01140,2022-05-26,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01141,2022-05-26,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01142,2022-05-27,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01143,2022-05-28,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01144,2022-05-28,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01145,2022-05-28,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01146,2022-05-28,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01147,2022-05-31,2022-05,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01148,2022-06-01,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01149,2022-06-02,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01150,2022-06-02,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01151,2022-06-03,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01152,2022-06-03,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01153,2022-06-04,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01154,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01155,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01156,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01157,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01158,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01159,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01160,2022-06-09,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01161,2022-06-10,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01162,2022-06-10,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01163,2022-06-10,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01164,2022-06-11,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01165,2022-06-11,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01166,2022-06-11,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01167,2022-06-13,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01168,2022-06-13,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01169,2022-06-13,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01170,2022-06-13,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01171,2022-06-13,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01172,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01173,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01174,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01175,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01176,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01177,2022-06-15,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01178,2022-06-15,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01179,2022-06-16,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01180,2022-06-16,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01181,2022-06-16,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01182,2022-06-17,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01183,2022-06-17,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01184,2022-06-17,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01185,2022-06-17,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01186,2022-06-17,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01187,2022-06-21,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01188,2022-06-21,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01189,2022-06-22,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01190,2022-07-13,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01191,2022-07-13,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01192,2022-06-23,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01193,2022-06-24,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01194,2022-08-18,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01195,2022-06-24,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01196,2022-06-25,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01197,2022-06-25,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01198,2022-06-25,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01199,2022-06-28,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01200,2022-06-28,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01201,2022-06-29,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01202,2022-06-29,2022-06,2022-Q2,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01203,2022-07-01,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01204,2022-07-01,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01205,2022-07-02,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01206,2022-07-02,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01207,2022-07-02,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01208,2022-07-05,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01209,2022-07-05,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01210,2022-07-06,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01211,2022-07-06,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01212,2022-07-07,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01213,2022-07-07,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01214,2022-07-08,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01215,2022-07-08,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01216,2022-07-08,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01217,2022-07-09,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01218,2022-07-11,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01219,2022-07-11,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01220,2022-07-11,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01221,2022-07-12,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01222,2022-07-12,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01223,2022-07-12,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01224,2022-07-13,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01225,2022-07-13,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01226,2022-07-15,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01227,2022-07-15,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01228,2022-07-15,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01229,2022-07-18,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01230,2022-07-19,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01231,2022-07-21,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01232,2022-07-22,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01233,2022-07-22,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01234,2022-07-23,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01235,2022-07-25,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01236,2022-07-25,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01237,2022-07-26,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01238,2022-07-28,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01239,2022-07-28,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01240,2022-07-28,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01241,2022-07-29,2022-07,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01242,2022-08-02,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01243,2022-08-08,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01244,2022-08-08,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01245,2022-08-09,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01246,2022-08-09,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01247,2022-08-10,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01248,2022-08-11,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01249,2022-08-11,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01250,2022-08-27,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01251,2022-08-29,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01252,2022-08-30,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01253,2022-08-31,2022-08,2022-Q3,2022,Region 1,Department 3,Municipality 3,-77.883,2.567
ID01254,2022-05-24,2022-05,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01255,2022-05-31,2022-05,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01256,2022-06-02,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01257,2022-06-02,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01258,2022-06-04,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01259,2022-06-06,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01260,2022-06-07,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01261,2022-06-08,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01262,2022-06-09,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01263,2022-06-10,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01264,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01265,2022-06-14,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01266,2022-06-15,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01267,2022-06-15,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01268,2022-06-18,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01269,2022-06-22,2022-06,2022-Q2,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01270,2022-07-05,2022-07,2022-Q3,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01271,2022-07-07,2022-07,2022-Q3,2022,Region 1,Department 4,Municipality 4,-78.764725,1.806667
ID01272,2022-05-04,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
ID01273,2022-05-11,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
ID01274,2022-05-17,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
ID01275,2022-05-23,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
ID01276,2022-05-31,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
ID01277,2022-05-31,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
ID01278,2022-05-31,2022-05,2022-Q2,2022,Region 2,Department 5,Municipality 5,-67.92389,3.86528
